,Track,Explicit,Tpopularity,Artist,Album,Rdate
127,House of Love (feat. Matt Pop & Ellis Miah),false,31,RuPaul,"Remember Me: Essential, Vol. 1",2017-02-03
128,Mighty Love (feat. Matt Pop),false,31,RuPaul,"Remember Me: Essential, Vol. 1",2017-02-03
129,Adrenaline (feat. Myah Marie),false,60,RuPaul,Born Naked,2014-02-24
130,Dem Beats,true,59,Todrick Hall,Forbidden,2018-03-27
131,U Wear It Well,false,50,RuPaul,Butch Queen,2016-03-04
132,Adrenaline (feat. Myah Marie),false,60,RuPaul,Born Naked,2014-02-24
133,Glamazon,false,57,RuPaul,Glamazon,2011-05-03
134,Now or Never,false,42,Blair St. Clair,Call My Life,2018-06-29
135,"Legs (From ""RuPaul's Drag Race 8"")",false,49,Lucian Piane,"Legs (From ""RuPaul's Drag Race 8"")",2016-05-16
136,Soak It Up (Remix),true,44,Monét X Change,Soak It Up,2018-05-25
137,Tempo (feat. Missy Elliott),true,73,Lizzo,Tempo (feat. Missy Elliott),2019-03-20
138,Bo Diddley,false,50,Bo Diddley,Bo Diddley,1957
139,You Left The Water Running - 2007 Remastered Version,false,35,Wilson Pickett,The Complete Atlantic Albums Collection,2017-11-24
140,Sixty Minute Man,false,42,Rufus Thomas,Do the Funky Chicken [Stax Remasters],2011-01-01
141,Hit Or Miss,false,42,Bo Diddley,Big Bad Bo,1974-01-01
142,Basic Lady - Remastered Version,false,22,Allen Toussaint,Southern Nights,1975
143,Tweedle Dee,false,33,LaVern Baker,The Departed (Music from the Motion Picture),2006-10-16
144,Ninety-Nine and One-Half (Won't Do),false,42,Wilson Pickett,The Exciting Wilson Pickett,1966
145,Spanish Guitar,false,35,Bo Diddley,Bo Diddley - Jukebox Hero,2014-11-21
146,Everybody's Trying to Be My Baby,false,36,Carl Perkins,Most Wanted,2013-12-10
147,Sneakin' Sally Thru The Alley,false,27,Lee Dorsey,Yes We Can ...And Then Some,1993-02-23
148,Ooh Baby,false,40,Bo Diddley,His Best,1997-01-01
149,Quitters Never Win,false,30,Dr. John,Destively Bonnaroo,2004-10-05
150,For What It's Worth,false,52,The Staple Singers,For What It's Worth,1967-11-23
151,I'm Your Bread Maker Baby - Single Version,false,20,Slim Harpo,The Excello Singles Anthology,2003-01-01
152,Gator Tail,false,19,Lee Dorsey,Yes We Can ...And Then Some,1993-02-23
153,She's Just Square,false,38,Dr. John,Swamp Blues,2016-08-01
154,The Girl Can't Help It,false,47,Little Richard,The Georgia Peach,1991-01-01
155,Whistling Past The Graveyard,false,19,Screamin' Jay Hawkins,Somethin' Funny Goin' On,1994
156,Mojo Mama - 2007 Remastered Version,false,36,Wilson Pickett,The Complete Atlantic Albums Collection,2017-11-24
157,"Shake, Rattle And Roll",false,51,Big Joe Turner,Shake Rattle & Rock,2007-10-30
